Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999,Season
15,Henrik Sedin*,28,VAN,C,82,22,60,82,22,48,8.7,18,4,0,8,38,22,0,143,15.4,1601,19:31,16,17,664,682,49.3,sedinhe01,2009
16,Mike Richards,23,PHI,C,79,30,50,80,22,63,9.4,15,8,7,4,23,25,2,238,12.6,1717,21:44,90,147,813,847,49,richami02,2009
17,Martin St. Louis*,33,TBL,RW,82,30,50,80,4,14,8.4,21,7,2,3,31,18,1,262,11.5,1745,21:17,48,17,14,16,46.7,stlouma01,2009
18,Rick Nash,24,CBJ,LW,78,40,39,79,11,52,10.1,29,6,5,5,25,13,1,263,15.2,1650,21:10,29,71,5,13,27.8,nashri01,2009
19,Alexander Semin,24,WSH,RW,62,34,45,79,25,77,10.7,26,8,0,8,21,22,2,223,15.2,1193,19:14,10,22,12,12,50,seminal01,2009
20,Patrik Eliáš,32,NJD,LW,77,31,47,78,18,32,9.4,17,12,2,6,25,19,3,247,12.6,1430,18:34,17,51,26,61,29.9,eliaspa01,2009
1,Alex Ovechkin,22,WSH,LW,82,65,47,112,28,40,17.2,43,22,0,11,32,15,0,446,14.6,1879,22:55,44,220,7,11,38.9,ovechal01,2008
2,Evgeni Malkin,21,PIT,C,82,47,59,106,16,78,13.9,30,17,0,5,36,23,0,272,17.3,1748,21:19,40,49,350,540,39.3,malkiev01,2008
3,Jarome Iginla*,30,CGY,RW,82,50,48,98,27,83,14.2,35,15,0,9,30,18,0,338,14.8,1758,21:26,10,98,245,200,55.1,iginlja01,2008
4,Pavel Datsyuk,29,DET,C,82,31,66,97,41,20,12.6,20,10,1,6,36,30,0,264,11.7,1753,21:23,42,40,452,380,54.3,datsypa01,2008
5,Joe Thornton,28,SJS,C,82,29,67,96,18,59,11.9,18,11,0,5,41,26,0,178,16.3,1739,21:12,31,60,784,700,52.8,thornjo01,2008
6,Vincent Lecavalier,27,TBL,C,81,40,52,92,-17,89,10.7,29,10,1,7,30,19,3,318,12.6,1859,22:57,21,108,810,848,48.9,lecavvi01,2008
7,Jason Spezza,24,OTT,C,76,34,58,92,26,66,11.6,23,11,0,6,36,22,0,210,16.2,1571,20:40,18,18,727,713,50.5,spezzja01,2008
8,Henrik Zetterberg,27,DET,LW,75,43,49,92,30,34,13,26,16,1,7,29,20,0,358,12,1655,22:04,16,31,666,543,55.1,zettehe01,2008
9,Daniel Alfredsson*,35,OTT,RW,70,40,49,89,15,34,11.5,24,9,7,5,31,16,2,217,18.4,1560,22:17,30,55,21,18,53.8,alfreda01,2008
10,Ilya Kovalchuk,24,ATL,LW,79,52,35,87,-12,52,12,34,16,2,4,21,14,0,283,18.4,1699,21:30,25,39,13,16,44.8,kovalil01,2008
11,Alex Kovalev,34,MTL,RW,82,35,49,84,18,70,10.8,18,17,0,5,17,30,2,230,15.2,1603,19:33,39,88,32,26,55.2,kovalal01,2008
12,Marián Gáborík,25,MIN,RW,77,42,41,83,17,63,11.6,30,11,1,8,28,13,0,278,15.1,1509,19:36,18,59,6,15,28.6,gaborma01,2008
13,Mike Ribeiro,27,DAL,C,76,27,56,83,21,46,10.5,20,7,0,5,32,24,0,107,25.2,1400,18:26,23,53,396,488,44.8,ribeimi01,2008
14,Martin St. Louis*,32,TBL,RW,82,25,58,83,-23,26,7.6,13,10,2,5,38,19,1,241,10.4,1991,24:17:00,45,34,3,9,25,stlouma01,2008
